index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit,before_employed,house_owner
0,0,0,0,0,202500.0,0,1,1,2,38.07945205479452,12.901369863013699,1,0,0,0,12,2.0,6.0,1.0,25.178082191780824,True
1,0,0,1,1,247500.0,0,4,0,1,31.17808219178082,4.219178082191781,1,0,0,1,8,3.0,5.0,1.0,26.95890410958904,True
2,1,1,1,0,450000.0,4,1,1,1,52.293150684931504,12.147945205479452,1,0,1,0,10,2.0,22.0,2.0,40.14520547945205,True
3,0,0,1,0,202500.0,0,4,1,1,41.33698630136986,5.7315068493150685,1,0,1,0,15,2.0,37.0,0.0,35.605479452054794,True
4,0,1,1,0,157500.0,2,1,1,1,41.1972602739726,5.767123287671233,1,0,0,0,10,2.0,26.0,2.0,35.43013698630137,True
5,0,0,1,2,270000.0,4,4,1,1,36.74794520547945,13.687671232876712,1,0,0,1,6,4.0,18.0,1.0,23.060273972602744,True
6,0,0,0,0,315000.0,4,4,2,1,48.136986301369866,5.419178082191781,1,0,0,1,3,1.0,41.0,2.0,42.71780821917808,True
7,1,0,1,0,270000.0,0,4,1,1,40.81095890410959,14.849315068493151,1,0,0,1,4,2.0,53.0,0.0,25.96164383561644,True
8,1,1,1,1,180000.0,0,1,1,1,41.45479452054794,4.016438356164383,1,0,0,1,12,3.0,38.0,2.0,37.438356164383556,True
9,0,0,1,0,103500.0,4,4,1,1,43.24657534246575,3.5835616438356164,1,0,0,0,11,2.0,5.0,2.0,39.66301369863014,True
10,0,0,1,0,193500.0,4,4,2,1,52.227397260273975,6.063013698630137,1,1,1,1,8,1.0,40.0,2.0,46.16438356164384,True
11,1,1,1,1,135000.0,0,1,1,1,32.21643835616438,0.2493150684931507,1,0,0,0,10,3.0,51.0,2.0,31.96712328767123,True
12,0,1,1,1,157500.0,0,4,1,1,32.706849315068496,5.923287671232877,1,0,0,0,0,3.0,60.0,0.0,26.78356164383562,True
13,0,0,0,0,135000.0,4,1,1,1,27.087671232876712,6.778082191780822,1,0,1,0,15,2.0,41.0,2.0,20.30958904109589,True
14,0,0,1,0,157500.0,1,4,3,1,62.8,0.0,1,0,1,0,12,1.0,41.0,2.0,62.8,True
15,1,1,1,2,157500.0,4,4,1,5,35.23013698630137,11.112328767123287,1,0,1,0,4,4.0,60.0,0.0,24.11780821917808,True
16,1,0,1,0,180000.0,4,4,1,1,53.172602739726024,12.473972602739726,1,0,1,0,8,2.0,2.0,1.0,40.698630136986296,True
17,1,0,0,0,270000.0,0,4,0,5,24.254794520547946,2.695890410958904,1,0,0,1,15,2.0,14.0,2.0,21.558904109589044,True
18,0,0,1,0,216000.0,1,4,1,1,63.323287671232876,0.0,1,0,0,0,12,2.0,37.0,2.0,63.323287671232876,True
19,0,0,1,0,180000.0,4,4,1,1,37.608219178082194,16.523287671232875,1,0,0,0,12,2.0,7.0,2.0,21.08493150684932,True
20,1,0,0,0,180000.0,4,4,1,1,54.38356164383562,4.802739726027397,1,0,1,0,12,2.0,35.0,2.0,49.58082191780822,True
21,0,0,0,0,157500.0,1,4,1,1,58.227397260273975,0.0,1,0,1,0,12,2.0,7.0,2.0,58.227397260273975,True
22,0,0,0,0,157500.0,0,4,0,1,41.63835616438356,3.717808219178082,1,0,0,0,8,2.0,22.0,0.0,37.92054794520548,True
23,1,1,0,0,225000.0,4,4,1,2,39.84109589041096,1.2164383561643837,1,1,1,1,12,2.0,18.0,2.0,38.62465753424658,True
24,0,0,0,0,202500.0,1,4,3,1,61.26301369863014,0.0,1,0,1,0,12,1.0,5.0,2.0,61.26301369863014,True
25,0,0,1,1,225000.0,0,4,1,1,38.515068493150686,10.12054794520548,1,0,0,0,14,3.0,4.0,2.0,28.394520547945206,True
26,1,1,0,1,135000.0,4,1,1,1,48.88493150684931,9.186301369863013,1,1,0,0,8,3.0,13.0,2.0,39.698630136986296,True
27,1,1,1,0,405000.0,2,4,1,1,47.42191780821918,9.58904109589041,1,0,0,0,12,2.0,57.0,2.0,37.83287671232877,True
28,1,1,0,0,112500.0,0,4,1,5,60.57808219178082,6.36986301369863,1,1,1,0,4,2.0,47.0,2.0,54.20821917808219,True
29,0,0,1,0,121500.0,0,4,1,0,32.92328767123288,4.6876712328767125,1,0,1,0,15,2.0,22.0,0.0,28.235616438356164,True
30,1,1,0,0,225000.0,0,4,1,1,36.131506849315066,0.6219178082191781,1,0,0,0,10,2.0,33.0,2.0,35.509589041095886,True
31,1,1,1,0,135000.0,0,1,1,1,32.224657534246575,9.457534246575342,1,1,0,1,8,2.0,18.0,0.0,22.767123287671232,True
32,0,0,1,0,135000.0,4,1,1,1,36.43561643835616,4.46027397260274,1,0,0,0,8,2.0,2.0,0.0,31.975342465753425,True
33,1,0,1,0,202500.0,4,4,1,1,52.602739726027394,0.947945205479452,1,0,1,0,6,2.0,30.0,2.0,51.654794520547945,True
34,1,1,1,1,270000.0,4,4,1,1,39.69315068493151,4.465753424657534,1,0,1,0,8,3.0,22.0,0.0,35.227397260273975,True
35,0,1,0,0,225000.0,4,1,0,1,39.556164383561644,6.6657534246575345,1,0,0,0,10,2.0,20.0,2.0,32.89041095890411,True
36,0,1,0,0,225000.0,4,1,3,1,55.342465753424655,2.8,1,1,1,0,0,1.0,14.0,2.0,52.54246575342466,True
37,1,1,1,0,585000.0,0,4,1,5,45.62465753424657,4.50958904109589,1,0,0,0,4,2.0,8.0,2.0,41.11506849315068,True
38,0,0,1,0,202500.0,4,4,1,1,37.21095890410959,9.512328767123288,1,0,0,0,15,2.0,41.0,2.0,27.698630136986303,True
39,1,1,1,2,112500.0,4,4,1,1,35.676712328767124,4.383561643835616,1,0,0,0,8,4.0,39.0,2.0,31.293150684931508,True
40,1,1,1,0,90900.0,4,4,1,1,59.45205479452055,6.646575342465753,1,0,0,0,8,2.0,21.0,1.0,52.8054794520548,True
41,0,0,1,2,99000.0,0,1,1,1,34.93698630136986,1.1863013698630136,1,0,1,0,0,4.0,19.0,2.0,33.75068493150685,True
42,1,0,0,1,270000.0,4,4,1,1,27.24109589041096,1.5178082191780822,1,1,0,0,10,3.0,35.0,0.0,25.723287671232878,True
43,0,0,0,0,67500.0,4,4,1,1,27.295890410958904,5.13972602739726,1,0,0,0,15,2.0,8.0,1.0,22.156164383561645,True
44,1,0,0,0,247500.0,4,1,0,1,41.43835616438356,0.5452054794520548,1,0,0,0,4,2.0,26.0,2.0,40.893150684931506,True
45,1,1,0,0,405000.0,4,1,1,1,51.10958904109589,8.767123287671232,1,1,1,0,6,2.0,4.0,0.0,42.342465753424655,True
46,0,0,0,0,135000.0,1,4,4,1,57.80821917808219,0.0,1,0,1,0,12,1.0,24.0,2.0,57.80821917808219,True
47,0,1,1,0,292500.0,0,1,1,1,50.43561643835616,9.53972602739726,1,0,0,0,15,2.0,48.0,2.0,40.895890410958906,True
48,0,0,1,0,99000.0,1,4,1,1,64.61643835616438,0.0,1,0,0,0,12,2.0,4.0,2.0,64.61643835616438,True
49,0,0,1,0,585000.0,0,4,1,1,51.66575342465753,5.506849315068493,1,0,1,0,12,2.0,12.0,2.0,46.15890410958904,True
